id;title;content;date;likes
1;house out tambourine;../fake-data/blob/hipster.txt;2023-11-10T13:23:05;14589
2;immaculate dreamily consequently;../fake-data/blob/hipster.txt;2023-11-10T10:41:32;32045
3;power unique likewise;../fake-data/blob/hipster.txt;2023-11-10T09:37:08;20829
4;scented;../fake-data/blob/hipster.txt;2023-11-09T23:44:26;6920
5;untimely silently;../fake-data/blob/hipster.txt;2023-11-10T12:26:40;4857
6;psst;../fake-data/blob/hipster.txt;2023-11-09T20:09:19;6483
7;that off;../fake-data/blob/hipster.txt;2023-11-09T19:48:12;3749
8;businessman pride;../fake-data/blob/hipster.txt;2023-11-10T12:32:45;30618
9;circa;../fake-data/blob/hipster.txt;2023-11-10T01:06:01;5909
10;amidst who;../fake-data/blob/hipster.txt;2023-11-10T03:06:57;14695
